x,y,z,color,ncluster,label,sub_group_type,idd
1452.3599853515625,4128.56005859375,1864.969970703125,#000000,6,5,SP1,1
2860.070068359375,1844.0899658203125,1377.25,#000000,6,5,SP1,1
662.739990234375,1983.1600341796875,1867.9599609375,#000000,6,5,SP1,1
5735.22998046875,5598.009765625,1559.4599609375,#000000,6,5,SP1,1
1280.5,1614.3900146484375,1888.0,#000000,6,5,SP1,1
2545.5400390625,5660.9501953125,1865.6500244140625,#000000,6,5,SP1,1
1631.510009765625,4185.89990234375,1871.8199462890625,#000000,6,5,SP1,1
3770.47998046875,1354.22998046875,1559.93994140625,#000000,6,5,SP1,1
1776.02001953125,5582.31005859375,1889.1099853515625,#000000,6,5,SP1,1
4694.64013671875,4820.0,1495.4599609375,#000000,6,5,SP1,1
3602.93994140625,5579.97998046875,1304.4599609375,#000000,6,5,SP1,1
1563.530029296875,1520.800048828125,1298.7900390625,#000000,6,5,SP1,1
4515.1298828125,3611.93994140625,1927.97998046875,#000000,6,5,SP1,1
1294.4200439453125,4343.33984375,1424.4000244140625,#000000,6,5,SP1,1
2954.0400390625,2999.110107421875,1924.3699951171875,#000000,6,5,SP1,1
1063.1700439453123,2406.340087890625,1881.3599853515625,#000000,6,5,SP1,1
3997.4599609375,2734.5400390625,1378.530029296875,#000000,6,5,SP1,1
2102.639892578125,4172.68994140625,1399.2099609375,#000000,6,5,SP1,1
2149.5400390625,1625.1700439453125,1313.1199951171875,#000000,6,5,SP1,1
4450.419921875,4370.509765625,1921.280029296875,#000000,6,5,SP1,1
1138.5799560546875,2210.7900390625,1887.3900146484373,#000000,6,5,SP1,1
5473.490234375,220.1100006103516,1421.9200439453125,#000000,6,5,SP1,1
2089.889892578125,5540.58984375,1871.43994140625,#000000,6,5,SP1,1
5734.7998046875,304.92999267578125,1525.0,#000000,6,5,SP1,1
1600.4200439453125,2798.260009765625,1873.530029296875,#000000,6,5,SP1,1
4149.14013671875,5527.990234375,1890.4300537109373,#000000,6,5,SP1,1
2318.7099609375,3736.889892578125,1883.8499755859373,#000000,6,5,SP1,1
4745.509765625,5509.75,1918.489990234375,#000000,6,5,SP1,1
1703.3699951171875,4589.56005859375,1877.510009765625,#000000,6,5,SP1,1
3787.9599609375,4333.0498046875,1909.2900390625,#000000,6,5,SP1,1
445.8200073242188,3540.840087890625,1785.25,#000000,6,5,SP1,1
5525.330078125,4969.10986328125,1920.06005859375,#000000,6,5,SP1,1
598.47998046875,2714.429931640625,1598.0799560546875,#000000,6,5,SP1,1
4879.56005859375,4244.009765625,1918.530029296875,#000000,6,5,SP1,1
3347.389892578125,2446.56005859375,1656.510009765625,#000000,6,5,SP1,1
1208.4100341796875,1447.5,1887.719970703125,#000000,6,5,SP1,1
1360.4200439453125,3624.590087890625,1873.6199951171875,#000000,6,5,SP1,1
2160.159912109375,572.9400024414062,1558.7099609375,#000000,6,5,SP1,1
1377.3699951171875,3062.239990234375,1328.949951171875,#000000,6,5,SP1,1
1281.6300048828125,1535.0899658203125,1330.9100341796875,#000000,6,5,SP1,1
4645.2099609375,4729.0,1916.699951171875,#000000,6,5,SP1,1
2670.22998046875,4765.6201171875,1889.699951171875,#000000,6,5,SP1,1
2752.97998046875,5250.10009765625,1569.3800048828125,#000000,6,5,SP1,1
2705.570068359375,5222.9599609375,1528.6500244140625,#000000,6,5,SP1,1
1222.8699951171875,1000.6099853515624,1880.5899658203125,#000000,6,5,SP1,1
631.8400268554688,3613.56005859375,1768.5400390625,#000000,6,5,SP1,1
637.8699951171875,3622.389892578125,1833.93994140625,#000000,6,5,SP1,1
3217.1201171875,4700.41015625,1588.6300048828125,#000000,6,5,SP1,1
5745.43994140625,4165.85009765625,1576.81005859375,#000000,6,5,SP1,1
3544.580078125,4822.27978515625,1923.5699462890625,#000000,6,5,SP1,1
2122.679931640625,818.0599975585938,1895.030029296875,#000000,6,5,SP1,1
4560.43994140625,3983.679931640625,1376.6500244140625,#000000,6,5,SP1,1
3330.159912109375,2363.25,1525.8299560546875,#000000,6,5,SP1,1
3250.27001953125,277.510009765625,1569.27001953125,#000000,6,5,SP1,1
2371.860107421875,2723.570068359375,1914.1600341796875,#000000,6,5,SP1,1
5618.5400390625,5537.56982421875,1676.0400390625,#000000,6,5,SP1,1
3498.31005859375,4024.5,1490.52001953125,#3ba3ec,6,4,SP1,1
2447.989990234375,3003.72998046875,1643.52001953125,#000000,6,5,SP1,1
