tomo_set,sub_group_type,idd,clustersubgroup,PC1-axis,PC2-axis,PC3-axis,eccentricity,numPar
SP1_1,SP1,1,0,747.787484529156,668.7962752076485,331.30026758263415,0.5569593307766616,25
SP1_1,SP1,1,1,668.0775337015452,276.03927970561557,219.44021445200585,0.6715348093863042,17
SP1_1,SP1,1,2,356.66802769210904,269.07356086517575,190.95482825749974,0.4646146740622906,12
SP1_1,SP1,1,3,407.21172291445816,328.59946626415456,207.3301896034963,0.49085407433849937,12
SP1_1,SP1,1,4,611.5084344714313,394.17304391339894,329.0045419929656,0.4619787341488646,16
SP1_1,SP1,1,5,7295.379901359203,6664.376690632312,688.0954335920782,0.9056806577730272,388
SP1_2,SP1,2,0,610.1843195595422,415.48566844958407,228.9655026963482,0.624760100584647,17
SP1_2,SP1,2,1,451.59407281322143,268.4547580402584,170.44047342148946,0.6225803577099132,12
SP1_2,SP1,2,2,471.3342449721272,378.56687157605734,286.0307237390313,0.3931467386674906,14
SP1_2,SP1,2,3,365.392833839124,424.2722750033754,242.11868597311093,0.33737428994102414,13
SP1_2,SP1,2,4,403.2536384851161,292.24344028056146,252.90433962206347,0.3728405264435126,12
SP1_2,SP1,2,5,7257.062712870857,6852.167614076759,607.4771261388348,0.9162915975548295,440
SP1_3,SP1,3,0,725.0350394595632,529.3638564611799,391.91111982796417,0.45945906266807135,21
SP1_3,SP1,3,1,408.0091937515265,386.68789045070946,198.4909473054105,0.5135135424759828,12
SP1_3,SP1,3,2,684.8080332407069,344.3246080279471,246.6303262192597,0.639854799815746,21
SP1_3,SP1,3,3,620.8093806615404,473.0910040678456,331.14201920398284,0.466596302312451,22
SP1_3,SP1,3,4,488.60372777851154,398.18921019849836,356.16739314423654,0.27105060216468424,15
SP1_3,SP1,3,5,563.0883693292027,413.2254682956165,228.17830094251445,0.5947735499947562,15
SP1_3,SP1,3,6,618.0334640647536,350.9528860553964,263.441081691294,0.5737430139160031,15
SP1_3,SP1,3,7,536.7156536653617,395.39357484719767,273.0769964228077,0.49120731888869185,16
SP1_3,SP1,3,8,435.0281837996121,410.79541272156064,322.27174302815916,0.2591934154394746,13
SP1_3,SP1,3,9,7665.022011282332,6687.641809273057,717.9255320929105,0.9063374467762547,494
SP1_4,SP1,4,0,913.3018255106551,508.5561639655874,355.6173522183585,0.6106245030009417,35
SP1_4,SP1,4,1,866.5081269545695,419.9085928270581,248.85280838288404,0.7128096083097312,31
SP1_4,SP1,4,2,482.00656975930207,400.4032459012718,293.8108890096891,0.3904421486279567,15
SP1_4,SP1,4,3,402.5214531817315,282.320792931608,196.8745809840694,0.5108966753750044,13
SP1_4,SP1,4,4,631.4803879017211,349.9529889692831,362.5784516001752,0.42582785064006734,17
SP1_4,SP1,4,5,482.7242806647671,331.6042095869113,238.92177718610202,0.5050553975510013,15
SP1_4,SP1,4,6,513.6399396583874,340.3096154277564,249.76579416804378,0.513733697706299,13
SP1_4,SP1,4,7,540.8580291740966,376.53703854459957,189.3846701118309,0.649844025795409,15
SP1_4,SP1,4,8,408.16461094704886,215.43472157917017,106.03491153084299,0.7402153232128228,8
SP1_4,SP1,4,9,6416.076932229034,5621.198403586273,1000.226851603506,0.8441061629764447,388
SP2_1,SP2,1,0,773.964068781389,440.5624264326773,463.628780220713,0.4009685992907923,29
SP2_1,SP2,1,1,1060.2379592739808,1190.9072482426466,440.6216519072874,0.5844124915042544,66
SP2_1,SP2,1,2,796.3625358352168,630.148859776794,426.8930654304869,0.46394632316201834,41
SP2_1,SP2,1,3,1462.9150177191652,616.4972706235521,421.8599967801908,0.7116305515559518,65
SP2_1,SP2,1,4,859.2301980824084,371.35619296107717,216.3131907996248,0.7482476857978422,25
SP2_1,SP2,1,5,1134.343880416599,821.4528430167886,709.3012995423971,0.3747034635723523,51
SP2_1,SP2,1,6,851.887809964916,444.2503638661274,345.0927346326448,0.5949082372162866,23
SP2_1,SP2,1,7,819.6776638504721,549.7071107764292,327.0332603491123,0.6010221154339388,32
SP2_1,SP2,1,8,1550.0328639801587,842.0432232487063,592.7365006101934,0.6175974623607847,73
SP2_1,SP2,1,9,544.7950327811756,454.846988853929,487.6916844139017,0.1048162059697233,24
SP2_1,SP2,1,10,491.80624302176574,343.7410842303766,206.34100264153216,0.5804424901690397,15
SP2_1,SP2,1,11,463.49921291375637,406.2656252451932,331.2984205020739,0.2852233374477837,18
SP2_1,SP2,1,12,936.2532413984828,876.5964521213249,503.58876675350444,0.4621233396198521,41
SP2_1,SP2,1,13,733.7742019709095,532.4702485136119,454.01769029984735,0.3812569465097563,37
SP2_1,SP2,1,14,1054.2234046290828,685.1755633062198,348.66526292158744,0.6692681443130533,33
SP2_1,SP2,1,15,423.54051097886656,212.61577348061647,199.5293492391982,0.5289013823540621,11
SP2_1,SP2,1,16,794.3886547786865,581.2799095361861,429.58129774812676,0.45923032112309514,29
SP2_1,SP2,1,17,1113.6059888646992,677.7989213730632,442.1607263294453,0.602946885387874,47
SP2_1,SP2,1,18,467.98618655993357,298.8948650081737,135.68086167353837,0.7100750715082011,11
SP2_1,SP2,1,19,689.9378416922725,457.790259602472,260.3233476839937,0.6226857958023071,19
SP2_1,SP2,1,20,439.3432817038532,209.85384390674977,210.48575192899796,0.5209082266771079,10
SP2_1,SP2,1,21,792.805914181272,628.7136046765606,419.1120333532548,0.4713560710680742,28
SP2_1,SP2,1,22,715.3197314624365,477.70596739220565,312.3346953892809,0.5633635119351066,26
SP2_1,SP2,1,23,469.8966085346107,170.7153012881759,108.5673207224936,0.7689548748583978,10
SP2_1,SP2,1,24,759.7342566477565,357.117387696341,195.9110316183842,0.7421321601544993,16
SP2_1,SP2,1,25,444.756629817105,368.1123380458525,110.53123172209456,0.7514792938161534,12
SP2_1,SP2,1,26,598.8465242567629,465.18963844581174,112.28614502242465,0.812495956018473,12
SP2_1,SP2,1,27,345.756342498404,303.53966180166753,179.15620499653073,0.48184260713205085,10
SP2_1,SP2,1,28,7090.318923964398,6474.330263208683,886.1224659937275,0.8750236095870464,162
SP2_2,SP2,2,0,548.0848345785571,463.2080601817743,344.5460466135338,0.37136365599594057,26
SP2_2,SP2,2,1,2117.7485211810636,1496.1805615724295,526.0543637236973,0.7515973410146366,113
