tomo_set,sub_group_type,idd,clustersubgroup,PC1-axis,PC2-axis,PC3-axis,eccentricity,numPar,Avg Size (nm)
SP1_1,LS,1,0,747.787484529156,668.7962752076485,331.30026758263415,0.5569593307766616,25,53.95438760558951
SP1_1,LS,1,1,668.0775337015452,276.03927970561557,219.44021445200585,0.6715348093863042,17,44.37588740767755
SP1_1,LS,1,2,356.6680276921091,269.0735608651757,190.95482825749974,0.4646146740622906,12,27.381142797480443
SP1_1,LS,1,3,407.21172291445816,328.59946626415456,207.33018960349634,0.4908540743384994,12,30.727095625897725
SP1_1,LS,1,4,611.5084344714313,394.1730439133989,329.00454199296564,0.4619787341488646,16,47.025648823219846
SP1_2,LS,2,0,610.1843195595422,415.48566844958407,228.96550269634818,0.624760100584647,17,41.95749111279452
SP1_2,LS,2,1,451.59407281322143,268.4547580402584,170.44047342148946,0.6225803577099132,12,31.101727311735544
SP1_2,LS,2,2,471.3342449721271,378.5668715760573,286.0307237390313,0.3931467386674906,14,37.86824843555792
SP1_2,LS,2,3,365.39283383912397,424.2722750033754,242.11868597311093,0.3373742899410241,13,30.375575990611743
SP1_2,LS,2,4,403.25363848511614,292.24344028056146,252.90433962206347,0.3728405264435126,12,32.80789890535898
SP1_3,LS,3,0,725.0350394595633,529.3638564611799,391.91111982796417,0.4594590626680714,21,55.84730796437638
SP1_3,LS,3,1,408.0091937515265,386.6878904507095,198.4909473054105,0.5135135424759828,12,30.32500705284685
SP1_3,LS,3,2,684.8080332407069,344.32460802794714,246.63032621925967,0.639854799815746,21,46.57191797299833
SP1_3,LS,3,3,620.8093806615403,473.09100406784563,331.1420192039828,0.46659630231245103,22,47.59756999327616
SP1_3,LS,3,4,488.6037277785115,398.18921019849836,356.16739314423654,0.27105060216468424,15,42.2385560461374
SP1_3,LS,3,5,563.0883693292027,413.2254682956165,228.17830094251443,0.5947735499947562,15,39.56333351358585
SP1_3,LS,3,6,618.0334640647536,350.95288605539633,263.44108169129396,0.5737430139160031,15,44.07372728780238
SP1_3,LS,3,7,536.7156536653617,395.3935748471977,273.07699642280767,0.4912073188886919,16,40.489632504408476
SP1_3,LS,3,8,435.0281837996121,410.7954127215606,322.27174302815916,0.2591934154394746,13,37.86499634138856
SP1_4,LS,4,0,913.3018255106552,508.55616396558736,355.6173522183585,0.6106245030009417,35,63.4459588864507
SP1_4,LS,4,1,866.5081269545695,419.9085928270581,248.85280838288404,0.7128096083097312,31,55.76804676687268
SP1_4,LS,4,2,482.00656975930207,400.4032459012718,293.81088900968916,0.3904421486279567,15,38.79087293844956
SP1_4,LS,4,3,402.5214531817315,282.320792931608,196.8745809840694,0.5108966753750044,13,29.969801708290042
SP1_4,LS,4,4,631.4803879017211,349.9529889692831,362.5784516001752,0.42582785064006734,17,49.70294197509482
SP1_4,LS,4,5,482.72428066476715,331.60420958691134,238.921777186102,0.5050553975510013,15,36.08230289254346
SP1_4,LS,4,6,513.6399396583873,340.3096154277564,249.76579416804375,0.513733697706299,13,38.17028669132155
SP1_4,LS,4,7,540.8580291740966,376.5370385445996,189.3846701118309,0.6498440257954089,15,36.51213496429638
SP1_4,LS,4,8,408.16461094704886,215.43472157917014,106.03491153084299,0.7402153232128228,8,25.70997612389459
SP2_1,SP1,1,0,773.964068781389,440.5624264326773,463.62878022071294,0.4009685992907923,29,61.879642450105095
SP2_1,SP1,1,1,1060.2379592739808,1190.9072482426466,440.62165190728734,0.5844124915042544,66,75.04298055906341
SP2_1,SP1,1,2,796.3625358352167,630.148859776794,426.8930654304869,0.4639463231620184,41,61.16278006328518
SP2_1,SP1,1,3,1462.9150177191652,616.4972706235521,421.8599967801908,0.7116305515559518,65,94.2387507249678
SP2_1,SP1,1,4,859.2301980824085,371.35619296107717,216.31319079962483,0.7482476857978422,25,53.77716944410166
SP2_1,SP1,1,5,1134.343880416599,821.4528430167886,709.3012995423971,0.3747034635723523,51,92.1822589979498
SP2_1,SP1,1,6,851.887809964916,444.2503638661274,345.0927346326448,0.5949082372162866,23,59.84902722987804
SP2_1,SP1,1,7,819.6776638504721,549.7071107764292,327.0332603491123,0.6010221154339388,32,57.33554620997923
SP2_1,SP1,1,8,1550.0328639801587,842.0432232487062,592.7365006101934,0.6175974623607847,73,107.1384682295176
SP2_1,SP1,1,9,544.7950327811756,454.84698885392896,487.69168441390167,0.1048162059697233,24,51.62433585975386
SP2_1,SP1,1,10,491.80624302176574,343.7410842303766,206.34100264153219,0.5804424901690397,15,34.90736228316489
SP2_1,SP1,1,11,463.4992129137564,406.2656252451932,331.29842050207384,0.2852233374477837,18,39.73988167079151
SP2_1,SP1,1,12,936.2532413984828,876.5964521213249,503.5887667535045,0.4621233396198521,41,71.99210040759937
SP2_1,SP1,1,13,733.7742019709094,532.4702485136119,454.0176902998474,0.3812569465097563,37,59.38959461353784
SP2_1,SP1,1,14,1054.2234046290828,685.1755633062198,348.66526292158744,0.6692681443130533,33,70.1444333775335
SP2_1,SP1,1,15,423.54051097886656,212.61577348061647,199.52934923919818,0.5289013823540621,11,31.153493010903237
SP2_1,SP1,1,16,794.3886547786865,581.2799095361861,429.5812977481268,0.4592303211230952,29,61.19849762634067
SP2_1,SP1,1,17,1113.6059888646992,677.7989213730633,442.16072632944537,0.602946885387874,47,77.78833575970722
SP2_1,SP1,1,18,467.9861865599336,298.89486500817367,135.68086167353837,0.7100750715082011,11,30.1833524116736
SP2_1,SP1,1,19,689.9378416922725,457.790259602472,260.3233476839937,0.6226857958023071,19,47.51305946881331
SP2_1,SP1,1,20,439.34328170385317,209.85384390674977,210.48575192899798,0.5209082266771079,10,32.49145168164256
SP2_1,SP1,1,21,792.805914181272,628.7136046765606,419.1120333532548,0.4713560710680742,28,60.59589737672634
SP2_1,SP1,1,22,715.3197314624365,477.70596739220565,312.3346953892809,0.5633635119351066,26,51.38272134258587
SP2_1,SP1,1,23,469.89660853461066,170.7153012881759,108.56732072249359,0.7689548748583978,10,28.923196462855213
SP2_1,SP1,1,24,759.7342566477565,357.11738769634104,195.91103161838416,0.7421321601544993,16,47.78226441330703
SP2_1,SP1,1,25,444.756629817105,368.1123380458525,110.53123172209456,0.7514792938161534,12,27.764393076959983
SP2_1,SP1,1,26,598.8465242567628,465.1896384458117,112.28614502242463,0.812495956018473,12,35.55663346395937
SP2_1,SP1,1,27,345.756342498404,303.53966180166753,179.15620499653073,0.4818426071320509,10,26.24562737474674
SP2_2,SP1,2,0,548.0848345785571,463.2080601817743,344.5460466135338,0.37136365599594057,26,44.63154405960454
SP2_2,SP1,2,1,2117.748521181064,1496.1805615724295,526.0543637236973,0.7515973410146366,113,132.19014424523806
SP2_2,SP1,2,2,1203.9730131224585,789.0421760209978,486.20760399791686,0.5961640346597505,48,84.50903085601877
SP2_2,SP1,2,3,541.800520737046,310.9818153254439,261.2387317162374,0.5178322616581144,12,40.151962622664165
SP2_2,SP1,2,4,874.9290380411751,609.97841135331,556.4064384599315,0.36405535275679535,49,71.56677382505532
SP2_2,SP1,2,5,3793.7607863248827,1294.58385940709,689.203786822005,0.8183323025251534,202,224.14822865734442
SP2_2,SP1,2,6,915.9581489349298,476.45448352089403,406.187955367808,0.5565431064289119,38,66.10730521513689
SP2_2,SP1,2,7,2056.987999486226,1190.231223245852,396.33407462534234,0.8073230982755686,95,122.66610370557842
SP2_2,SP1,2,8,1548.0879663486949,744.2234446130542,643.4791817531136,0.5843393943105073,96,109.57835740509043
SP2_2,SP1,2,9,1685.1078155548114,739.6112459521855,506.0453713716062,0.6996955525928803,98,109.55765934632089
SP2_2,SP1,2,10,793.419714951442,554.1657500010137,476.18564987911066,0.3998313365477014,45,63.48026824152763
SP2_2,SP1,2,11,932.8553667201936,674.4669861114737,449.13582625383634,0.5185364824206955,39,69.0995596487015
SP2_2,SP1,2,12,457.0263481506176,455.46453525499084,350.18121427412996,0.2337833131696724,14,40.360378121237375
