Unnamed: 0,selgroup,volseg,pixelRato2initalMask,sradius,numsel_allcluster,numsel_noisecluster,numsel_Currentcluster,shelldistance,vol_density_numsel_allcluster,vol_density_numsel_noisecluster,shell_density_numsel_allcluster,shell_density_numsel_noisecluster,sub_group_type,idd,vol_density_numsel_Currentcluster,shell_density_numsel_Currentcluster
0,0.0,38056.0,0.064911,10.0,0.0,0.0,0.0,0.00091349,0.0,0.0,0.0,0.0,SP1,1,0.0,0.0
1,0.0,1027300.0,0.19472,30.0,0.0,0.0,0.0,19.97,0.0,0.0,0.0,0.0,SP1,1,0.0,0.0
2,0.0,4755900.0,0.32453000000000004,50.0,0.0,0.0,0.0,47.188,0.0,0.0,0.0,0.0,SP1,1,0.0,0.0
3,0.0,13050000.0,0.45434,70.0,1.0,0.0,1.0,75.009,127.28962207711207,0.0,200.2784591584756,0.0,SP1,1,127.28962207711207,200.2784591584756
4,0.0,27736000.0,0.58415,90.0,2.0,0.0,2.0,102.95,119.78148024995043,0.0,113.10973499293968,0.0,SP1,1,119.78148024995043,113.10973499293968
5,0.0,50639000.0,0.71396,110.0,7.0,0.0,7.0,131.07,229.62355055874298,0.0,362.64453742005685,0.0,SP1,1,229.62355055874298,362.64453742005685
6,0.0,83587000.0,0.84377,130.0,9.0,0.0,9.0,159.12,178.85755097032802,0.0,100.83340828616682,0.0,SP1,1,178.85755097032802,100.83340828616682
7,0.0,128400000.0,0.97358,150.0,12.0,0.0,12.0,187.2,155.24575402862732,0.0,111.204085964317,0.0,SP1,1,155.24575402862732,111.204085964317
8,0.0,186920000.0,1.1034,170.0,15.0,0.0,15.0,215.31,133.30271518079758,0.0,85.15701818726824,0.0,SP1,1,133.30271518079758,85.15701818726824
9,0.0,260960000.0,1.2332,190.0,17.0,0.0,17.0,243.44,108.21276309705436,0.0,44.87113906283935,0.0,SP1,1,108.21276309705436,44.87113906283935
10,0.0,352340000.0,1.3630000000000002,210.0,18.0,0.0,18.0,271.59,84.86215651334967,0.0,18.178261852772078,0.0,SP1,1,84.86215651334967,18.178261852772078
11,0.0,462900000.0,1.4928,230.0,20.0,0.0,20.0,299.74,71.77055813809947,0.0,30.049377136510717,0.0,SP1,1,71.77055813809947,30.049377136510717
