Unnamed: 0,selgroup,volseg,pixelRato2initalMask,sradius,numsel_allcluster,numsel_noisecluster,numsel_Currentcluster,shelldistance,vol_density_numsel_allcluster,vol_density_numsel_noisecluster,shell_density_numsel_allcluster,shell_density_numsel_noisecluster,sub_group_type,idd,vol_density_numsel_Currentcluster,shell_density_numsel_Currentcluster,uniq
8,0.0,186920000.0,1.1034,2.0,15.0,0.0,15.0,215.31,133.30271518079758,0.0,85.15701818726824,0.0,LS,1,133.30271518079758,85.15701818726824,SP1-1-0
9,0.0,260960000.0,1.2332,4.0,17.0,0.0,17.0,243.44,108.21276309705436,0.0,44.871139062839354,0.0,LS,1,108.21276309705436,44.871139062839354,SP1-1-0
10,0.0,352340000.0,1.3630000000000002,6.0,18.0,0.0,18.0,271.59,84.86215651334967,0.0,18.178261852772078,0.0,LS,1,84.86215651334967,18.178261852772078,SP1-1-0
11,0.0,462900000.0,1.4928,8.0,20.0,0.0,20.0,299.74,71.77055813809947,0.0,30.04937713651072,0.0,LS,1,71.77055813809947,30.04937713651072,SP1-1-0
12,0.0,594460000.0,1.6226,10.0,23.0,0.0,23.0,327.91,64.27006033449716,0.0,37.87920875888521,0.0,LS,1,64.27006033449716,37.87920875888521,SP1-1-0
13,0.0,748850000.0,1.7524,12.0,23.0,0.0,23.0,356.08,51.01953671155128,0.0,0.0,0.0,LS,1,51.01953671155128,0.0,SP1-1-0
14,0.0,927890000.0,1.8822,14.0,24.0,1.0,23.0,384.26,42.965340325417344,1.7902225135590557,9.2779801614517,9.2779801614517,LS,1,41.175117811858286,0.0,SP1-1-0
15,0.0,1133400000.0,2.0121,16.0,24.0,1.0,23.0,412.44,35.17479233681974,1.4656163473674892,0.0,0.0,LS,1,33.70917598945225,0.0,SP1-1-0
16,0.0,1367200000.0,2.1419,18.0,25.0,1.0,24.0,440.62,30.37466296273977,1.2149865185095907,7.1049168866822585,0.0,LS,1,29.159676444230172,7.1049168866822585,SP1-1-0
25,1.0,126080000.0,1.1484,2.0,15.0,0.0,15.0,204.62,197.6280418908208,0.0,37.74693953476293,0.0,LS,1,197.6280418908208,37.74693953476293,SP1-1-1
26,1.0,183530000.0,1.3015,4.0,16.0,0.0,16.0,234.26,144.81595973247425,0.0,28.914352795584197,0.0,LS,1,144.81595973247425,28.914352795584197,SP1-1-1
27,1.0,256230000.0,1.4546,6.0,16.0,0.0,16.0,263.91,103.72740541584123,0.0,0.0,0.0,LS,1,103.72740541584123,0.0,SP1-1-1
28,1.0,345950000.0,1.6077,8.0,16.0,0.0,16.0,293.57,76.82634221621909,0.0,0.0,0.0,LS,1,76.82634221621909,0.0,SP1-1-1
29,1.0,454520000.0,1.7608,10.0,17.0,0.0,17.0,323.22,62.12972511178234,0.0,15.300078917807054,0.0,LS,1,62.12972511178234,15.300078917807054,SP1-1-1
30,1.0,583690000.0,1.9139,12.0,17.0,0.0,17.0,352.87,48.3804804910266,0.0,0.0,0.0,LS,1,48.3804804910266,0.0,SP1-1-1
31,1.0,735290000.0,2.0671,14.0,18.0,1.0,17.0,382.53,40.664679549447996,2.2591488638582216,10.957319050833194,10.957319050833194,LS,1,38.40553068558978,0.0,SP1-1-1
32,1.0,911090000.0,2.2202,16.0,19.0,2.0,17.0,412.17,34.64143146562901,3.646466470066211,9.448973652481866,9.448973652481866,LS,1,30.9949649955628,0.0,SP1-1-1
33,1.0,1112900000.0,2.3733,18.0,19.0,2.0,17.0,441.81,28.3596565675442,2.985227007109915,0.0,0.0,LS,1,25.37442956043428,0.0,SP1-1-1
41,2.0,118430000.0,1.22,2.0,11.0,0.0,11.0,210.24,154.2888225041749,0.0,80.37205187276524,0.0,LS,1,154.2888225041749,80.37205187276524,SP1-1-2
42,2.0,172400000.0,1.3826,4.0,11.0,0.0,11.0,240.46,105.98854552882506,0.0,0.0,0.0,LS,1,105.98854552882506,0.0,SP1-1-2
43,2.0,240690000.0,1.5453,6.0,13.0,1.0,12.0,270.7,89.71990687349728,6.901531297961329,48.64927714471554,24.32463857235777,LS,1,82.81837557553594,24.32463857235777,SP1-1-2
44,2.0,324970000.0,1.7079,8.0,13.0,1.0,12.0,300.94,66.45131669194714,5.1116397455343945,0.0,0.0,LS,1,61.339676946412744,0.0,SP1-1-2
