Unnamed: 0,selgroup,volseg,pixelRato2initalMask,sradius,numsel_allcluster,numsel_noisecluster,numsel_Currentcluster,shelldistance,vol_density_numsel_allcluster,vol_density_numsel_noisecluster,shell_density_numsel_allcluster,shell_density_numsel_noisecluster,sub_group_type,idd,vol_density_numsel_Currentcluster,shell_idd,shell_density_numsel_Currentcluster
0,0.0,4201.3,0.04506,10.0,0.0,0.0,0.0,0.0034716,0.0,0.0,0.0,0.0,nucleiA,2,0.0,0.0,0.0
1,0.0,113210.0,0.13509000000000002,30.0,0.0,0.0,0.0,0.22249,0.0,0.0,0.0,0.0,nucleiA,2,0.0,1.0,0.0
2,0.0,523910.0,0.22512,50.0,0.0,0.0,0.0,5.1093,0.0,0.0,0.0,0.0,nucleiA,2,0.0,2.0,0.0
3,0.0,1437400.0,0.31515,70.0,0.0,0.0,0.0,14.657,0.0,0.0,0.0,0.0,nucleiA,2,0.0,3.0,0.0
4,0.0,3054600.0,0.40518,90.0,0.0,0.0,0.0,24.113000000000003,0.0,0.0,0.0,0.0,nucleiA,2,0.0,4.0,0.0
5,0.0,5576800.0,0.49521,110.0,0.0,0.0,0.0,33.734,0.0,0.0,0.0,0.0,nucleiA,2,0.0,5.0,0.0
6,0.0,9204800.0,0.58524,130.0,0.0,0.0,0.0,43.409,0.0,0.0,0.0,0.0,nucleiA,2,0.0,6.0,0.0
7,0.0,14140000.0,0.67527,150.0,0.0,0.0,0.0,52.966,0.0,0.0,0.0,0.0,nucleiA,2,0.0,7.0,0.0
8,0.0,20583000.0,0.7653,170.0,2.0,0.0,2.0,62.51300000000001,161.40791605755354,0.0,515.6385435686209,0.0,nucleiA,2,161.40791605755354,8.0,515.6385435686209
9,0.0,28735000.0,0.8553299999999999,190.0,4.0,0.0,4.0,72.05,231.23432303550544,0.0,407.5391482105771,0.0,nucleiA,2,231.23432303550544,9.0,407.5391482105771
10,0.0,38798000.0,0.94536,210.0,10.0,0.0,10.0,81.59899999999998,428.14824684424775,0.0,990.4379815798344,0.0,nucleiA,2,428.14824684424775,10.0,990.4379815798344
11,0.0,50971000.0,1.0354,230.0,12.0,0.0,12.0,91.158,391.0763927973896,0.0,272.92032664196375,0.0,nucleiA,2,391.0763927973896,11.0,272.92032664196375
12,0.0,65457000.0,1.1254,250.0,14.0,0.0,14.0,100.72,355.28383447894606,0.0,229.34275412209203,0.0,nucleiA,2,355.28383447894606,12.0,229.34275412209203
13,0.0,82456000.0,1.2155,270.0,16.0,0.0,16.0,110.29,322.33037122466516,0.0,195.43850439511883,0.0,nucleiA,2,322.33037122466516,13.0,195.43850439511883
14,0.0,102170000.0,1.3055,290.0,20.0,0.0,20.0,119.86,325.1697304700621,0.0,337.04566665442064,0.0,nucleiA,2,325.1697304700621,14.0,337.04566665442064
15,0.0,124800000.0,1.3955,310.0,20.0,0.0,20.0,129.44,266.20666155549867,0.0,0.0,0.0,nucleiA,2,266.20666155549867,15.0,0.0
16,0.0,150550000.0,1.4855,330.0,22.0,0.0,22.0,139.01,242.7422816229749,0.0,129.01977228010193,0.0,nucleiA,2,242.7422816229749,16.0,129.01977228010193
17,0.0,179610000.0,1.5756,350.0,22.0,0.0,22.0,148.59,203.46779410021082,0.0,0.0,0.0,nucleiA,2,203.46779410021082,17.0,0.0
18,0.0,212190000.0,1.6656,370.0,22.0,0.0,22.0,158.17,172.22701587416404,0.0,0.0,0.0,nucleiA,2,172.22701587416404,18.0,0.0
19,0.0,248490000.0,1.7556,390.0,22.0,0.0,22.0,167.76,147.06769084606572,0.0,0.0,0.0,nucleiA,2,147.06769084606572,19.0,0.0
20,0.0,288710000.0,1.8457,410.0,22.0,0.0,22.0,177.34,126.57978767046127,0.0,0.0,0.0,nucleiA,2,126.57978767046127,20.0,0.0
21,0.0,333060000.0,1.9357,430.0,22.0,0.0,22.0,186.92,109.72452560601351,0.0,0.0,0.0,nucleiA,2,109.72452560601351,21.0,0.0
22,0.0,381720000.0,2.0257,450.0,22.0,0.0,22.0,196.51,95.73732185460251,0.0,0.0,0.0,nucleiA,2,95.73732185460251,22.0,0.0
23,0.0,434920000.0,2.1158,470.0,22.0,0.0,22.0,206.09,84.02660373939773,0.0,0.0,0.0,nucleiA,2,84.02660373939773,23.0,0.0
24,1.0,4201.2,0.036288,10.0,0.0,0.0,0.0,0.0077445,0.0,0.0,0.0,0.0,nucleiA,2,0.0,0.0,0.0
25,1.0,113210.0,0.10879,30.0,0.0,0.0,0.0,15.192,0.0,0.0,0.0,0.0,nucleiA,2,0.0,1.0,0.0
26,1.0,523910.0,0.18129,50.0,0.0,0.0,0.0,30.377,0.0,0.0,0.0,0.0,nucleiA,2,0.0,2.0,0.0
27,1.0,1437300.0,0.2538,70.0,0.0,0.0,0.0,45.56100000000001,0.0,0.0,0.0,0.0,nucleiA,2,0.0,3.0,0.0
28,1.0,3054600.0,0.3263,90.0,2.0,0.0,2.0,60.746,1087.624938195713,0.0,2054.200912763634,0.0,nucleiA,2,1087.624938195713,4.0,2054.200912763634
