# model_ID,resid_ID, disk_angle, dist2sk, disk2surf, vol
0,1,26,158,154,481040000
0,2,74,229,81,481040000
0,3,55,73,173,481040000
0,4,44,208,104,481040000
0,5,37,130,127,481040000
0,6,10,125,163,481040000
0,7,29,78,115,481040000
0,8,20,7,173,481040000
0,9,18,88,178,481040000
0,10,75,357,60,481040000
0,11,21,78,119,481040000
0,12,31,11,206,481040000
0,13,17,107,146,481040000
0,14,33,83,175,481040000
0,15,22,65,199,481040000
0,16,17,44,184,481040000
0,17,15,116,140,481040000
0,18,22,147,160,481040000
0,19,8,73,160,481040000
0,20,20,36,169,481040000
0,21,3,95,127,481040000
0,22,26,126,135,481040000
0,23,16,171,133,481040000
0,24,44,124,162,481040000
0,25,49,152,138,481040000
0,26,21,160,126,481040000
0,27,10,166,113,481040000
0,28,32,246,53,481040000
0,29,49,147,74,481040000
0,30,24,39,170,481040000
0,31,55,105,119,481040000
0,32,35,61,137,481040000
0,33,19,42,181,481040000
0,34,10,41,199,481040000
0,35,18,47,212,481040000
0,36,27,92,194,481040000
0,37,5,38,231,481040000
0,38,21,74,148,481040000
0,39,17,50,212,481040000
0,40,60,134,130,481040000
0,41,32,132,141,481040000
0,42,21,80,179,481040000
0,43,23,46,162,481040000
0,44,10,88,222,481040000
0,45,1,168,148,481040000
0,46,25,80,200,481040000
0,47,68,153,182,481040000
0,48,22,211,106,481040000
0,49,6,236,100,481040000
0,50,17,182,96,481040000
0,51,40,128,92,481040000
0,52,44,237,98,481040000
0,53,41,212,119,481040000
0,54,54,121,115,481040000
0,55,45,169,127,481040000
0,56,17,263,49,481040000
0,57,9,214,120,481040000
0,58,10,239,36,481040000
0,59,23,100,174,481040000
0,60,34,261,56,481040000
0,61,79,180,122,481040000
0,62,21,105,191,481040000
0,63,27,99,132,481040000
0,64,24,66,161,481040000
0,65,16,223,82,481040000
0,66,13,199,83,481040000
0,67,21,104,135,481040000
0,68,5,160,101,481040000
0,69,38,144,129,481040000
0,70,5,159,130,481040000
0,71,32,180,101,481040000
0,72,70,104,125,481040000
0,73,27,85,151,481040000
0,74,24,364,88,481040000
0,75,15,154,114,481040000
0,76,22,365,81,481040000
0,77,12,133,117,481040000
0,78,66,106,150,481040000
0,79,49,143,118,481040000
0,80,46,101,110,481040000
1,1,40,236,100,503050000
1,2,5,126,159,503050000
1,3,42,127,144,503050000
1,4,28,139,164,503050000
1,5,9,112,170,503050000
1,6,3,220,109,503050000
1,7,0,197,100,503050000
1,8,17,93,121,503050000
1,9,38,152,135,503050000
1,10,2,78,147,503050000
1,11,16,64,192,503050000
1,12,66,213,144,503050000
1,13,67,253,125,503050000
1,14,76,178,143,503050000
1,15,54,186,152,503050000
1,16,26,216,105,503050000
1,17,6,196,129,503050000
1,18,12,155,142,503050000
1,19,39,115,179,503050000
1,20,48,159,162,503050000
1,21,71,191,114,503050000
1,22,51,201,122,503050000
1,23,26,191,111,503050000
1,24,12,145,128,503050000
1,25,58,97,149,503050000
1,26,68,144,92,503050000
1,27,10,122,121,503050000
1,28,6,18,175,503050000
1,29,53,90,143,503050000
1,30,59,10,178,503050000
1,31,23,154,188,503050000
1,32,15,261,140,503050000
