# model_ID,resid_ID, disk_angle, dist2sk, disk2surf, vol
0,1,34,109,114,90960000
0,2,35,153,91,90960000
0,3,25,167,54,90960000
0,4,18,129,117,90960000
0,5,15,201,64,90960000
0,6,63,100,63,90960000
0,7,52,119,121,90960000
0,8,48,143,98,90960000
0,9,51,88,140,90960000
0,10,61,118,113,90960000
0,11,42,130,108,90960000
0,12,6,82,135,90960000
0,13,70,125,125,90960000
0,14,70,131,108,90960000
0,15,15,86,91,90960000
0,16,5,70,72,90960000
0,17,27,52,101,90960000
0,18,34,109,114,90960000
0,19,35,153,91,90960000
0,20,25,167,54,90960000
0,21,18,129,117,90960000
0,22,15,201,64,90960000
0,23,63,100,63,90960000
0,24,52,119,121,90960000
0,25,48,143,98,90960000
0,26,51,88,140,90960000
0,27,61,118,113,90960000
0,28,42,130,108,90960000
0,29,6,82,135,90960000
0,30,70,125,125,90960000
0,31,70,131,108,90960000
0,32,15,86,91,90960000
0,33,5,70,72,90960000
0,34,27,52,101,90960000
1,1,35,170,141,131870000
1,2,17,174,134,131870000
1,3,59,141,147,131870000
1,4,52,173,127,131870000
1,5,37,126,150,131870000
1,6,42,146,166,131870000
1,7,20,197,127,131870000
1,8,80,164,138,131870000
1,9,35,275,100,131870000
1,10,30,129,158,131870000
1,11,13,181,124,131870000
1,12,24,261,82,131870000
1,13,15,129,167,131870000
1,14,16,200,155,131870000
1,15,5,164,131,131870000
1,16,20,112,166,131870000
1,17,4,192,128,131870000
1,18,8,206,116,131870000
1,19,43,131,160,131870000
1,20,29,198,125,131870000
1,21,29,172,135,131870000
1,22,0,118,177,131870000
1,23,6,109,174,131870000
1,24,27,102,220,131870000
1,25,19,47,257,131870000
1,26,15,204,154,131870000
1,27,67,179,151,131870000
1,28,68,99,216,131870000
1,29,35,170,141,131870000
1,30,17,174,134,131870000
1,31,59,141,147,131870000
1,32,52,173,127,131870000
1,33,37,126,150,131870000
1,34,42,146,166,131870000
1,35,20,197,127,131870000
1,36,80,164,138,131870000
1,37,35,275,100,131870000
1,38,30,129,158,131870000
1,39,13,181,124,131870000
1,40,24,261,82,131870000
1,41,15,129,167,131870000
1,42,16,200,155,131870000
1,43,5,164,131,131870000
1,44,20,112,166,131870000
1,45,4,192,128,131870000
1,46,8,206,116,131870000
1,47,43,131,160,131870000
1,48,29,198,125,131870000
1,49,29,172,135,131870000
1,50,0,118,177,131870000
1,51,6,109,174,131870000
1,52,27,102,220,131870000
1,53,19,47,257,131870000
1,54,15,204,154,131870000
1,55,67,179,151,131870000
1,56,68,99,216,131870000
2,1,55,436,27,160160000
2,2,55,63,147,160160000
2,3,4,219,57,160160000
2,4,19,55,179,160160000
2,5,23,156,137,160160000
2,6,16,156,140,160160000
2,7,80,87,178,160160000
2,8,34,124,159,160160000
2,9,0,116,116,160160000
2,10,53,132,170,160160000
2,11,57,270,105,160160000
2,12,10,100,189,160160000
2,13,25,268,106,160160000
2,14,67,245,107,160160000
2,15,1,91,169,160160000
2,16,71,132,193,160160000
2,17,0,146,159,160160000
2,18,85,160,159,160160000
2,19,22,133,157,160160000
2,20,53,155,133,160160000
2,21,16,131,152,160160000
2,22,81,138,147,160160000
2,23,19,183,97,160160000
2,24,37,205,150,160160000
2,25,35,24,236,160160000
2,26,49,142,175,160160000
2,27,47,136,144,160160000
2,28,83,58,254,160160000
2,29,18,108,182,160160000
2,30,55,436,27,160160000
2,31,55,63,147,160160000
2,32,4,219,57,160160000
2,33,19,55,179,160160000
2,34,23,156,137,160160000
2,35,16,156,140,160160000
2,36,80,87,178,160160000
2,37,34,124,159,160160000
2,38,0,116,116,160160000
2,39,53,132,170,160160000
2,40,57,270,105,160160000
2,41,10,100,189,160160000
2,42,25,268,106,160160000
2,43,67,245,107,160160000
2,44,1,91,169,160160000
2,45,71,132,193,160160000
2,46,0,146,159,160160000
2,47,85,160,159,160160000
2,48,22,133,157,160160000
2,49,53,155,133,160160000
2,50,16,131,152,160160000
2,51,81,138,147,160160000
2,52,19,183,97,160160000
2,53,37,205,150,160160000
2,54,35,24,236,160160000
2,55,49,142,175,160160000
2,56,47,136,144,160160000
2,57,83,58,254,160160000
2,58,18,108,182,160160000
3,1,53,121,137,83333000
3,2,3,118,129,83333000
3,3,43,125,119,83333000
3,4,14,117,138,83333000
3,5,31,203,86,83333000
3,6,49,155,83,83333000
3,7,14,356,63,83333000
3,8,50,137,111,83333000
3,9,68,144,104,83333000
3,10,54,170,84,83333000
3,11,63,111,117,83333000
3,12,17,55,161,83333000
3,13,23,120,124,83333000
3,14,18,102,135,83333000
3,15,0,102,141,83333000
3,16,61,96,141,83333000
3,17,31,138,116,83333000
3,18,7,184,72,83333000
3,19,53,121,137,83333000
3,20,3,118,129,83333000
3,21,43,125,119,83333000
3,22,14,117,138,83333000
3,23,31,203,86,83333000
3,24,49,155,83,83333000
3,25,14,356,63,83333000
3,26,50,137,111,83333000
3,27,68,144,104,83333000
3,28,54,170,84,83333000
3,29,63,111,117,83333000
3,30,17,55,161,83333000
3,31,23,120,124,83333000
3,32,18,102,135,83333000
3,33,0,102,141,83333000
3,34,61,96,141,83333000
3,35,31,138,116,83333000
3,36,7,184,72,83333000
4,1,25,189,83,109340000
4,2,24,66,139,109340000
4,3,18,99,152,109340000
4,4,30,84,148,109340000
4,5,16,112,120,109340000
4,6,20,123,117,109340000
4,7,13,135,99,109340000
4,8,30,129,122,109340000
4,9,16,176,79,109340000
4,10,69,62,159,109340000
4,11,70,110,109,109340000
4,12,23,47,192,109340000
4,13,16,118,139,109340000
4,14,4,180,148,109340000
4,15,3,97,135,109340000
4,16,16,42,201,109340000
4,17,61,153,137,109340000
4,18,11,175,112,109340000
4,19,38,162,94,109340000
4,20,25,189,83,109340000
4,21,24,66,139,109340000
4,22,18,99,152,109340000
4,23,30,84,148,109340000
4,24,16,112,120,109340000
4,25,20,123,117,109340000
4,26,13,135,99,109340000
4,27,30,129,122,109340000
4,28,16,176,79,109340000
4,29,69,62,159,109340000
4,30,70,110,109,109340000
4,31,23,47,192,109340000
4,32,16,118,139,109340000
4,33,4,180,148,109340000
4,34,3,97,135,109340000
4,35,16,42,201,109340000
4,36,61,153,137,109340000
4,37,11,175,112,109340000
4,38,38,162,94,109340000
