# model_ID,resid_ID, disk_angle, dist2sk, disk2surf, vol
0,1,46,375,36,145860000
0,2,34,143,108,145860000
0,3,27,288,48,145860000
0,4,29,84,92,145860000
0,5,46,158,91,145860000
0,6,25,143,122,145860000
0,7,55,246,63,145860000
0,8,14,350,37,145860000
0,9,52,347,30,145860000
0,10,19,103,146,145860000
0,11,33,144,113,145860000
0,12,4,76,183,145860000
0,13,77,108,167,145860000
0,14,72,89,148,145860000
0,15,56,123,140,145860000
0,16,24,126,132,145860000
0,17,0,198,67,145860000
0,18,62,73,164,145860000
0,19,13,80,120,145860000
0,20,87,133,137,145860000
0,21,26,92,83,145860000
0,22,53,226,107,145860000
0,23,53,154,158,145860000
0,24,12,343,58,145860000
0,25,41,51,104,145860000
1,1,1,40,197,89290000
1,2,62,133,123,89290000
1,3,1,215,41,89290000
1,4,20,77,108,89290000
1,5,14,50,133,89290000
1,6,50,69,112,89290000
1,7,62,115,74,89290000
1,8,58,120,105,89290000
1,9,32,80,152,89290000
1,10,28,30,165,89290000
1,11,10,245,105,89290000
1,12,3,251,106,89290000
1,13,29,85,124,89290000
1,14,20,32,167,89290000
1,15,51,53,155,89290000
1,16,20,114,118,89290000
1,17,7,132,99,89290000
2,1,39,133,83,74038000
2,2,26,157,73,74038000
2,3,9,132,90,74038000
2,4,62,22,182,74038000
2,5,59,91,113,74038000
2,6,22,129,98,74038000
2,7,82,72,143,74038000
2,8,32,89,97,74038000
2,9,25,90,129,74038000
2,10,46,129,101,74038000
2,11,5,69,141,74038000
2,12,58,108,100,74038000
3,1,23,176,87,67143000
3,2,25,152,105,67143000
3,3,45,194,113,67143000
3,4,21,144,141,67143000
3,5,57,137,127,67143000
3,6,2,35,208,67143000
3,7,45,132,112,67143000
3,8,10,83,118,67143000
3,9,13,121,122,67143000
3,10,0,209,58,67143000
3,11,46,174,81,67143000
3,12,31,234,19,67143000
4,1,38,343,92,100000000
4,2,32,79,78,100000000
4,3,12,189,63,100000000
4,4,55,96,99,100000000
4,5,32,78,123,100000000
4,6,41,71,148,100000000
4,7,15,142,91,100000000
4,8,53,133,113,100000000
4,9,39,135,123,100000000
4,10,66,56,175,100000000
4,11,17,56,124,100000000
4,12,14,142,127,100000000
4,13,5,123,142,100000000
4,14,30,133,163,100000000
4,15,39,136,128,100000000
4,16,47,195,101,100000000
