# model_ID,resid_ID, disk_angle, dist2sk, disk2surf, vol
0,1,84,164,180,182590000
0,2,67,189,141,182590000
0,3,8,192,148,182590000
0,4,40,115,169,182590000
0,5,77,102,174,182590000
0,6,8,49,249,182590000
0,7,61,116,189,182590000
0,8,31,201,151,182590000
0,9,51,144,158,182590000
0,10,45,112,175,182590000
0,11,50,124,163,182590000
0,12,1,204,151,182590000
0,13,34,140,174,182590000
0,14,7,149,151,182590000
0,15,20,105,177,182590000
0,16,12,178,142,182590000
0,17,30,207,112,182590000
0,18,79,181,135,182590000
0,19,31,195,151,182590000
0,20,77,146,154,182590000
0,21,19,167,150,182590000
0,22,16,188,131,182590000
0,23,37,248,110,182590000
0,24,12,110,173,182590000
0,25,21,84,251,182590000
0,26,61,111,220,182590000
0,27,32,101,181,182590000
0,28,32,177,141,182590000
0,29,2,176,142,182590000
0,30,47,157,191,182590000
0,31,0,114,174,182590000
0,32,31,160,186,182590000
0,33,9,220,134,182590000
0,34,49,208,142,182590000
0,35,67,229,127,182590000
0,36,39,146,159,182590000
0,37,87,156,140,182590000
0,38,25,130,151,182590000
0,39,51,138,173,182590000
1,1,29,180,180,173810000
1,2,20,186,179,173810000
1,3,5,173,161,173810000
1,4,41,174,145,173810000
1,5,7,163,164,173810000
1,6,20,163,155,173810000
1,7,28,91,220,173810000
1,8,18,161,164,173810000
1,9,30,76,239,173810000
1,10,39,293,120,173810000
1,11,62,176,147,173810000
1,12,45,160,165,173810000
1,13,14,166,175,173810000
1,14,16,155,162,173810000
1,15,59,147,167,173810000
1,16,20,217,136,173810000
1,17,33,207,136,173810000
1,18,47,200,130,173810000
1,19,23,205,145,173810000
1,20,40,72,239,173810000
1,21,1,159,175,173810000
1,22,4,162,174,173810000
1,23,34,169,149,173810000
1,24,9,174,154,173810000
1,25,20,139,179,173810000
1,26,36,120,187,173810000
1,27,29,168,146,173810000
1,28,50,48,267,173810000
1,29,61,61,231,173810000
1,30,47,63,236,173810000
1,31,21,87,217,173810000
1,32,6,66,265,173810000
1,33,33,168,147,173810000
1,34,70,142,148,173810000
1,35,86,158,161,173810000
1,36,35,151,175,173810000
1,37,65,163,166,173810000
1,38,22,160,161,173810000
1,39,24,168,160,173810000
1,40,3,183,146,173810000
1,41,29,158,153,173810000
2,1,30,96,183,117620000
2,2,62,154,149,117620000
2,3,21,184,137,117620000
2,4,30,136,159,117620000
2,5,43,192,105,117620000
2,6,27,109,164,117620000
2,7,79,134,154,117620000
2,8,28,128,148,117620000
2,9,29,159,140,117620000
2,10,25,241,86,117620000
2,11,58,131,172,117620000
2,12,49,156,117,117620000
2,13,38,137,152,117620000
2,14,23,171,124,117620000
2,15,80,145,146,117620000
2,16,8,59,229,117620000
2,17,28,159,140,117620000
2,18,53,217,101,117620000
2,19,22,160,139,117620000
2,20,3,60,239,117620000
2,21,63,142,148,117620000
2,22,46,73,214,117620000
2,23,50,119,168,117620000
2,24,30,115,182,117620000
2,25,36,152,138,117620000
